Country,Company Name,Year,Sector,DealType,DealSubtype, Proceeds ($ millions) 
Afghanistan,Areeba Afghanistan,2005,Infrastructure,Sale of mobile license ,"Build, own, transfer", 40.10 
Afghanistan,Etisalat Afghanistan,2006,Infrastructure,Greenfield,, 40.00 
Albania,National Commercial Bank,2000,Financial,,, 10.00 
Albania,Albanian Mobile Communication,2000,Infrastructure,Divestiture,Full, 85.60 
Albania,Vodafone Albania,2001,Infrastructure,,, 38.00 
Albania,Petrolimpex sh.a. Tirana,2003,Energy,Divestiture,Partial, 3.41 
Albania,INSIG,2003,Financial,Greenfield project,"Build, own, and operate", 10.54 
Albania,Savings Bank of Albania,2003,Financial,Divestiture,Partial, 124.82 
Albania,Hotel Tirana,2004,Competitive,auction,, 6.45 
Albania,Italian Albanian Bank,2005,Financial,,, 40.80 
Albania,Albtelecom,2007,Infrastructure,Divestiture,Partial (76%), 161.00 
Algeria,Hotel Aurassi,2000,Competitive,Divestiture,Partial, 7.00 
Algeria,Djezzy GSM,2001,Infrastructure,Greenfield project,"Build, own, and operate", 368.50 
Algeria,Djezzy GSM,2003,Infrastructure,Greenfield project,"Build, own, and operate", 360.00 
Algeria,Wataniya Telecom Algerie,2004,Infrastructure,Sale of mobile license,"Build, own, transfer ", 421.00 
Algeria,Asmidal Fertilizer Company,2005,Competitive,,66% Stake Purchase, 158.00 
Algeria,Consortium Algerien des Telecommunications,2005,Infrastructure,Sale of mobile license,"Build, own, transfer", 65.00 
Algeria,Metro of Algiers,2007,Infrastructure,Management and lease contract,Management contract (100%), 161.00 
Angola,ex-Lojas Francas,2004,Financial,Divestiture,Partial (30%), 1.50 
Angola,Encime-Lobito,2005,Competitive,Divestiture,Partial (51%), 10.85 
Angola,Hotel Alameda,2005,Competitive,Divestiture,, 2.14 
Angola,Hotel Mundial,2005,Competitive,Divestiture,, 1.70 
Angola,Embal,2006,Competitive,Divestiture,Partial, 3.50 
Angola,Grande Hotel da Huila,2006,Competitive,Divestiture,, 2.75 
Angola,Hotel Panorama,2006,Competitive,Divestiture,, 3.50 
Argentina,Aguas del Gran Buenos Aires S.A.,2000,Infrastructure,Concession,"Build, rehabilitate, operate, and transfer", 1.20 
Argentina,Lacroze Railway Terminal,2000,Infrastructure,Concession,"Build, rehabilitate, operate, and transfer", 1.00 
Argentina,Once Railway Terminal,2000,Infrastructure,Concession,"Rehabilitate, operate, and transfer", 9.40 
Argentina,Constitucion Railway Terminal,2001,Infrastructure,Management and lease contract,Management contract, 1.30 
Argentina,Neuquen Airport,2001,Infrastructure,Concession,"Rehabilitate, operate, and transfer", 10.20 
Argentina,Interurban Road Network - Corridor 1,2003,Infrastructure,Management and lease contract,Management contract,
Argentina,Interurban Road Network - Corridor 2,2003,Infrastructure,Management and lease contract,Management contract,
Argentina,Interurban Road Network - Corridor 3,2003,Infrastructure,Management and lease contract,Management contract,
Argentina,Interurban Road Network - Corridor 4,2003,Infrastructure,Management and lease contract,Management contract,
Argentina,Interurban Road Network - Corridor 5,2003,Infrastructure,Management and lease contract,Management contract,
Argentina,Interurban Road Network - Corridor 6,2003,Infrastructure,Concession,"Build, rehabilitate, operate, and transfer",
Armenia,Nairit-1,2002,Competitive,Divestiture,Partial, 15.00 
Armenia,Armenia Power Networks,2002,Infrastructure,Divestiture,Full, 12.00 
Armenia,Ararat Gold Mining,2002,Primary,,, 3.30 
Armenia,Sevan-Hrazdan Cascade of HEPS,2003,Infrastructure,,, 25.00 
Armenia,Hotel Dvin,2004,Competitive,,, 3.80 
Armenia,Zangezur Copper-Molybdenum Plant,2004,Primary,Tender ,, 132.00 
Armenia,Armenia Railway Concession,2008,Infrastructure,Concession,"Build, rehabilitate, operate, and transfer",5.00
Azerbaijan,United Universal Inc Bank,2003,Financial,Private Sale,, 1.10 
Azerbaijan,J.V. Bakcell,2004,Infrastructure,Sale of mobile license,"Build, own, operate", 10.00 
Azerbaijan,Azercell Telecom BV,2008,Infrastructure,Greenfield project,,180.00
Bangladesh,Bawa Jute Mills,2000,Competitive,Divestiture,Full, 1.00 
Bangladesh,Kaliachapra Sugar Mills,2000,Competitive,Divestiture,Full, 4.60 
Bangladesh,Noakhali Textile Mills,2000,Competitive,Divestiture,Full, 1.50 
Bangladesh,Satrang Textile Mills,2000,Competitive,Divestiture,Full, 1.60 
Bangladesh,Eastern Bank Ltd,2000,Financial,Divestiture,Partial, 2.70 
Bangladesh,Islami Bank Bangladesh,2000,Financial,Divestiture,Partial, 1.20 
Bangladesh,Warid Telecom,2005,Infrastructure,Sale of mobile license,"Build, own, operate", 50.00 
Bangladesh,National TeleCom Ltd,2007,Infrastructure,Greenfield project,Merchant (100%), 1.70 
Bangladesh,Titas Gas Transmission and Distribution Co. Ltd.,2008,Infrastructure,IPO,Partial,31.00
Belarus,MTS Belarus,2001,Infrastructure,Greenfield project,"Build, own, and operate", 23.50 
Belarus,BeST,2008,Infrastructure,Divestiture,Partial,300.00
Belarus,Belterminal,2008,Infrastructure,Divestiture,Partial,3.96
Belize,Belize Water Services,2001,Infrastructure,Divestiture,Full, 49.60 
Belize,Belize City Port,2002,Infrastructure,Divestiture,Partial, 37.60 
Benin,Globacom Benin,2007,Infrastructure,Greenfield project,Merchant (100%) , 69.00 
Bhutan,Tashi Group-second mobile license in Bhutan,2006,Infrastructure,Greenfield,, 18.00 
Bolivia,Bolivian Airports Fuel Terminals,2000,Infrastructure,Divestiture,Full, 11.10 
Bolivia,NuevaTel PCS de Bolivia,2000,Infrastructure,Greenfield project,"Build, own, and operate", 15.40 
Bolivia,El Mutun,2007,Primary,Concession,," 2,300.00 "
Bosnia and Herzegovina,Cement Plant Kakanj,2000,Competitive,,, 24.60 
Bosnia and Herzegovina,Fabrika Cementa Lukavac,2001,Competitive,,, 9.75 
Bosnia and Herzegovina,Sarajevo Holiday Inn,2001,Competitive,,, 12.80 
Bosnia and Herzegovina,Birac Zvornik,2003,Primary,,, 3.77 
Bosnia and Herzegovina,TKA Cardboard,2004,Competitive,Auction,, 17.67 
Bosnia and Herzegovina,Banjalucka pivara,2005,Competitive,Tender,"53,81% shares", 14.60 
Bosnia and Herzegovina,Tvornica Kuca,2005,Competitive,Tender,90% Cash 10% Cerificates, 1.57 
Bosnia and Herzegovina,KTK Visoko,2005,Financial,Direct Negotiations,, 1.24 
Bosnia and Herzegovina,Sipad Export-Import,2005,Financial,Direct Negotiations,, 14.60 
Bosnia and Herzegovina,Unis CRNI VRH,2005,Financial,Auction,, 2.86 
Bosnia and Herzegovina,Telekom Sprske,2006,Infrastructure,Divestiture,Partial (65%), 861.00 
Brazil,Petrobras,2000,Energy,Divestiture,Full," 4,233.30 "
Brazil,Banespa,2000,Financial,Concession,"Build, rehabilitate, operate, and transfer"," 3,580.50 "
