Country,Company Name,Year,Sector,DealType,DealSubtype, Proceeds ($ millions) ,RealSector
Albania,"Oil refinery, Patos",1995,Manufacturing & Services,auction,, 0.56 ,Oil production
Albania,"Electricity Distribution, Elbasan",1995,Infrastructure,auction,, 1.28 ,Electricity
Albania,"Electricity Distribution, Vlore",1995,Infrastructure,auction,, 1.42 ,Electricity
Albania,"Petrolimpex, Tirana",1995,Energy,auction,, 1.26 ,Petroleum
Albania,"OAT, Tirane",1995,Manufacturing & Services,auction,, 0.07 ,Vehicle Maintenance
Albania,"Military construction, Fier",1995,Manufacturing & Services,auction,, 0.08 ,Construction
Albania,"Wood processing,  Berat",1995,Manufacturing & Services,auction,, 0.09 ,Wood products
Albania,Manufacturing factory,1995,Manufacturing & Services,auction,, 0.09 ,Manufacturing
Albania,"Mekanike Bujqesore, Fier",1995,Manufacturing & Services,auction,, 0.11 ,Machinery
Albania,"Wood processing,  Korca",1995,Manufacturing & Services,auction,, 0.13 ,Wood products
Albania,"Prodhim Vajra, Delvine",1995,Manufacturing & Services,auction,, 0.15 ,Oil production
Albania,"Ndertim Ura, Tirane",1995,Manufacturing & Services,auction,, 0.19 ,Construction
Albania,"Wood processing, Lac",1995,Manufacturing & Services,auction,, 0.24 ,Wood products
Albania,"Gozhde Bullonat, Kavaje",1995,Manufacturing & Services,auction,, 0.31 ,Manufacturing
Albania,"Elektromjeksore, Tirane",1995,Manufacturing & Services,auction,, 0.34 ,Medical Equipment
Albania,"Prodhim Karbonike, Elbasan",1995,Manufacturing & Services,auction,, 0.38 ,Equipment
Albania,"Road construction, Patos",1995,Manufacturing & Services,auction,, 0.40 ,Construction
Albania,"Amballazh Kartoni, Tirane",1995,Manufacturing & Services,auction,, 0.44 ,Paper Products
Albania,"Flour factory, Tirana",1995,Manufacturing & Services,auction,, 0.55 ,Milling
Albania,"Plastic factory, Lushnje",1995,Manufacturing & Services,auction,, 0.63 ,Plastics
Albania,"Bloja, Tirane",1995,Manufacturing & Services,auction,, 0.69 ,Agribusiness
Albania,"Leather products, Tirana",1995,Manufacturing & Services,auction,, 0.71 ,Manufacturing
Albania,"Mekanike e K.M., Elbasan",1995,Manufacturing & Services,auction,, 0.73 ,Equipment
Albania,"Military & Agricultural, Berat",1995,Manufacturing & Services,auction,, 0.83 ,Manufacturing
Albania,"Frigoriferi, Berat",1995,Other,auction,, 0.06 ,Cold Storage
Albania,"Cereal silos, Peqin",1995,Other,auction,, 0.10 ,Storage
Albania,"Cereal silos, Durres",1995,Other,auction,, 0.12 ,Storage
Albania,"Bread factory, Tirana",1995,Other,auction,, 0.50 ,Food
Albania,"Brick factory, Elbasan",1995,Other,auction,, 0.87 ,Bricks
Albania,"Cereal silos and processing, Vlore",1995,Other,auction,, 1.08 ,Storage
Albania,"Dajti metal factory, Tirana",1995,Primary,auction,, 0.33 ,Metallurgy
Albania,"Machines & metals, Tirana",1995,Primary,auction,, 0.51 ,Metallurgy
Albania,"Trucking enterprise, Tirana",1995,Services,auction,, 0.15 ,Services
Albania,Oil machinery repair,1995,Services,auction,, 0.19 ,Repair service
Albania,"Cartography printing, Tirana",1995,Services,auction,, 0.23 ,Printing
Albania,"Ndert. Rip. Mak. Asfalti, Tirane",1995,Services,auction,, 0.24 ,Services
Albania,"Trucking company, Tirana",1995,Services,auction,, 0.27 ,Services
Albania,"Retail network, Korca",1995,Services,auction,, 0.27 ,Retail
Albania,"Shtypshkronja ""cajupi"", Tirane",1995,Services,auction,, 0.35 ,Printing
Albania,"Printing enterprise, Tirana",1995,Services,auction,, 0.60 ,Printing
Albania,"Iliria Hotel, Korca",1995,Services,auction,, 0.92 ,Hotel
Albania,"Turizmi, Vlore",1995,Services,auction,, 1.52 ,Tourism
Albania,"Ndert. Asfalt. Rruga, Tirane",1995,Infrastructure,auction,, 0.29 ,Road construction
Albania,"Asfaltim Rruga, Fier",1995,Infrastructure,auction,, 0.45 ,Road maintenance
Albania,"Ndertim Rruga, Elbasan",1995,Infrastructure,auction,, 0.81 ,Road maintenance
Albania,Petrolimpex,1997,Energy,Auction,, 1.80 ,Petroleum
Albania,Elbasan Cement,1997,Manufacturing & Services,Auction,, 4.30 ,Cement
Albania,Small and Medium Enterprises (SMEs),1998,Other,,, 0.88 ,Various
Algeria,Chateaneuf Hotel,1996,Services,Tender,, 9.25 ,Tourism
Algeria,Saidal,1999,Manufacturing & Services,IPO,, 28.70 ,Manufacturing (Pharmaceuticals)
Algeria,Eriad,1999,Services,IPO,, 17.10 ,Wholesale and retail trade
Angola,Cuca-Huambo,1996,Services,Tender,, 3.80 ,Industry
Angola,Panificadora Sta. Filomena,1998,Services,Tender and Public Offer,, 0.04 ,Industry
Angola,Moagem do Kikolo,1998,Services,Tender and Public Offer,, 2.40 ,Industry
Argentina,Austral,1988,Infrastructure,debt assumed by GOA,, 28.00 ,Airlines
Argentina,Centrales Termicas del Noroeste Argentino S.A.,1993,Infrastructure,"US$2Mn in cash, US$13.2Mn DES",, 15.20 ,Power Utility
Argentina,"Petroquimica Bahia Blanca, SA",1995,Energy,direct sale,, 357.50 ,Petrochemicals
Argentina,Petropol,1990,Energy,"$4.5Mn cash, $13Mn DES",, 17.50 ,Petroleum/Petrochemicals
Argentina,Monomeros viniflicos,1990,Energy,"$9.3Mn cash, $26.5Mn DES",, 35.80 ,Petroleum/Petrochemicals
Argentina,Induclor,1990,Energy,"$17.8Mn cash, $50.6 Mn DES",, 68.40 ,Petroleum/Petrochemicals
Argentina,YPF (37 secondary drilling areas),1990,Energy,concessions,, 256.90 ,Petroleum
Argentina,Polisur,1990,Manufacturing & Services,"$14.1Mn cash, $41Mn DES",, 55.10 ,Chemicals
Argentina,Canal 13,1990,Services,15-year concession,, 5.70 ,Television stations
Argentina,Canal 11,1990,Services,15-year concession,, 8.20 ,Television stations
Argentina,Telecom S.A.,1990,Infrastructure,"$100Mn cash, $2.3Bn DES",," 2,395.00 ",Telecommunications
Argentina,Telefonica de Argentina,1990,Infrastructure,"$114Mn cash, $2.7Bn DES",," 2,819.00 ",Telecommunications
Argentina,"National Highways (10,000 Kms of roads)",1990,Infrastructure,"concession, US$100mn p.a.",,,Roads
Argentina,Aerolineas Argentinas,1990,Infrastructure,"$260Mn cash, $1.61Bn DES",," 1,870.00 ",Airlines
Argentina,Santa Cruz I,1991,Energy,,, 55.00 ,Petroleum
Argentina,YPF (22 secondary drilling areas),1991,Energy,concessions,, 140.50 ,Petroleum
Argentina,Vizcacheras (Mendoza),1991,Energy,,, 167.69 ,Petroleum
Argentina,El Huemul-Koluel Kaike,1991,Energy,,, 170.48 ,Petroleum
Argentina,Tordillo,1991,Energy,,, 179.98 ,Petroleum
Argentina,Puesto Hernandez (Neuquen),1991,Energy,,, 286.35 ,Petroleum
Argentina,YPF (5 primary drilling areas),1991,Energy,joint ventures,, 615.10 ,Petroleum
Argentina,Tandanor,1991,Manufacturing & Services,,, 59.80 ,Manufacturing
Argentina,La Celulosa,1991,Manufacturing & Services,$900Mn DES (estimated),, 300.00 ,Manufacturing
Argentina,Santa Helena,1991,Other,token sum paid,,,Foodstuffs
Argentina,Llao-Llao Hotel,1991,Services,"$3.7Mn cash, $12Mn DES",, 15.70 ,Tourism
Argentina,Radio stations (6),1991,Infrastructure,concession,,,Telecommunications
Argentina,Telefonica de Argentina,1991,Infrastructure,"GDRs, public offer",, 830.00 ,Telecommunications
Argentina,Rosario-Bahia Blanca,1991,Infrastructure,"30-year concession,  $500Mn future invest.",,,Railroads
Argentina,Central Pedro de Mendoza,1992,Infrastructure,,, 8.50 ,Power Utility
Argentina,Central Alto Valle,1992,Infrastructure,,, 22.10 ,Power Utility
Argentina,Central Dock Sud,1992,Infrastructure,,, 25.00 ,Power Utility
Argentina,Distribuidora de Gas Noroeste,1992,Infrastructure,"$10Mn cash, $62 DES",, 72.00 ,Gas
Argentina,Central Guemes,1992,Infrastructure,"$10Mn cash, $76.2Mn DES",, 86.20 ,Power Utility
Argentina,Central Costanera,1992,Infrastructure,,, 90.10 ,Power Utility
Argentina,Central Puerto,1992,Infrastructure,,, 92.20 ,Power Utility
Argentina,Distribuidora de Gas del Litoral,1992,Infrastructure,"$14Mn cash, $89.6 Mn DES",, 103.61 ,Gas
Argentina,Distribuidora de Gas Cuyana,1992,Infrastructure,"$26Mn cash, $96Mn DES",, 122.00 ,Gas
Argentina,Distribuidora de Gas del Centro,1992,Infrastructure,"$18Mn cash, $120Mn DES",, 138.00 ,Gas
Argentina,Edelap (Area la Plata),1992,Infrastructure,"$5Mn cash, $134Mn DES",, 139.00 ,Power Utility
Argentina,Distribuidora de Gas del  Sur,1992,Infrastructure,"$14Mn cash, $134Mn DES",, 148.00 ,Gas
Argentina,Distribuidora de Gas Buenos Aires Norte,1992,Infrastructure,"$28Mn cash, $127.5Mn DES",, 155.56 ,Gas
Argentina,Transportadora de Gas del Norte,1992,Infrastructure,"$28Mn cash, $182.2 Mn DES",, 210.22 ,Gas
Argentina,Distribuidora de Gas Pampeana,1992,Infrastructure,"$18Mn cash, $217.4 Mn DES",, 235.41 ,Gas
Argentina,Distribuidora de Gas Metropolitana,1992,Infrastructure,"$44Mn cash, $256Mn DES",, 300.02 ,Gas
Argentina,Transportadora de Gas del Sur,1992,Infrastructure,"$100Mn cash, $256.2 Mn DES",, 356.20 ,Gas
Argentina,Edenor,1992,Infrastructure,"$30Mn cash, $397.9Mn DES",, 427.90 ,Power Utility
Argentina,Edesur,1992,Infrastructure,"$30Mn cash, $481Mn DES",, 511.00 ,Power Utility
Argentina,Petroquimica Rio Tercero,1992,Energy,,, 7.30 ,Petroleum/Petrochemicals
Argentina,Palmar Largo,1992,Energy,,, 36.00 ,Petroleum
Argentina,YPF (27 secondary drilling areas),1992,Energy,concessions,, 67.10 ,Petroleum
Argentina,Santa Cruz II,1992,Energy,,, 141.60 ,Petroleum
Argentina,Tierra Del Fuego,1992,Energy,,, 143.50 ,Petroleum
Argentina,Aguarague,1992,Energy,,, 143.70 ,Petroleum
Argentina,YPF joint ventures (4),1992,Energy,joint ventures,, 464.76 ,Petroleum
Argentina,Bank of the Province of Corrientes,1992,Financial,,, 15.00 ,Banking
Argentina,Mercado de Hacienda de Liniers,1992,Manufacturing & Services,"10-year concession, royalty of 12% of total income",,,Agribusiness\Livestock
Argentina,Mercado de Hacienda de Liniers,1992,Manufacturing & Services,10-year concession,,,Livestock market
Argentina,Altos Hornos Zapla,1992,Manufacturing & Services,"$3.3Mn cash, $29.7Mn DES",, 33.00 ,Steel
Argentina,Somisa,1992,Manufacturing & Services,"$140Mn cash, $12.1 DES",, 152.10 ,Steel
Argentina,Hipodromo Argentino,1992,Services,"25-year concession, 8.5% of bets plus 30% of ticket sales",, 61.50 ,Race track
Argentina,Telecom,1992,Infrastructure,initial public offer,," 1,226.90 ",Telecommunications
Argentina,General Mitre Railroad,1992,Infrastructure,30-year concession,,,Railroads
Argentina,General Urquiza Railroad,1992,Infrastructure,30-year concession,,,Railroads
Argentina,Delta Borges Railroad,1992,Infrastructure,30-year concession,,,Railroads
Argentina,General Roca Railroad,1992,Infrastructure,30-year concession,,,Railroads
Argentina,San Martin Railroad,1992,Infrastructure,30-year concession,,,Railroads
Argentina,Puerto Buenos Aires grain elevator,1992,Infrastructure,"concession, $3/Ton plus $.15 royalties",, 1.10 ,Port/Grain Elevator
Argentina,Puerto Diamante grain elevator,1992,Infrastructure,Direct sale,, 2.00 ,Port/Grain Elevator
Argentina,Puerto Quequen grain elevator,1992,Infrastructure,"concession, $3.5/Ton plus $.4 royalties",, 2.90 ,Port/Grain Elevator
